,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
103,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",866028,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
104,"I Know","Post Malone",862553,https://open.spotify.com/track/6b2mfHMqWCA74XmUuVJm8r
105,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,850398,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
106,"Que Calor (feat. J Balvin & El Alfa)","Major Lazer",849113,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
107,Instagram,"Dimitri Vegas & Like Mike",847492,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
108,Roller,"Apache 207",841693,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
109,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",838413,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
110,"Rescue Me",OneRepublic,834208,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
111,"Old Town Road","Lil Nas X",831018,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
112,"Better Now","Post Malone",829782,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
113,"Verte Ir","DJ Luian",826976,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
114,comethru,"Jeremy Zucker",826803,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
115,"Shape of You","Ed Sheeran",826690,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
116,"Say You Won't Let Go","James Arthur",808181,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
117,Internet,"Post Malone",804058,https://open.spotify.com/track/0KAzP1Rbp0Vz5pw8i1KDDI
118,"Te Robaré","Nicky Jam",803223,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
119,"Let Me Down Slowly","Alec Benjamin",803043,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
120,"Pop Out (feat. Lil Tjay)","Polo G",803016,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
121,Youngblood,"5 Seconds of Summer",802120,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
122,"bury a friend","Billie Eilish",794214,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
123,Better,Khalid,794109,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
124,"Girls Like You (feat. Cardi B)","Maroon 5",791744,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
125,"Be Alright","Dean Lewis",790930,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
126,"Te Quemaste","Manuel Turizo",789475,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
127,"Lucid Dreams","Juice WRLD",788194,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
128,goosebumps,"Travis Scott",782782,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
129,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,781232,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
130,"all the good girls go to hell","Billie Eilish",781054,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
131,Genick,Loredana,779935,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
132,"Only Human","Jonas Brothers",778064,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
133,"Cruel Summer","Taylor Swift",777427,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
134,"Don't Call Me Up",Mabel,775419,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
135,"Call You Mine","The Chainsmokers",774883,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
136,"I Like Me Better",Lauv,773439,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
137,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",772845,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
138,Perfect,"Ed Sheeran",767309,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
139,Cuaderno,Dalex,764077,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
140,"High Hopes","Panic! At The Disco",759052,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
141,"bad guy (with Justin Bieber)","Billie Eilish",750904,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
